keys,en,br,es,pr
CLEARSAVE_OPTION,Clear save game and reset,Deletar Jogo Salvo e Resetar,Borrar Juego Guardado y Reiniciar,Deletar Jogo Salvo e Resetar
CLEARSAVE_CONFIRM,Press again to confirm,Pressione novamente para confirmar,Presiona Nuevamente Para Confirmar,Pressione novamente para confirmar
ON_VALUE,ON,Ativo,ON,Ativo
OFF_VALUE,OFF,Desl.,OFF,Desl.
LANGUAGE_OPTION,Language,Idioma,Idioma,Idioma
SKIP_DIAG_OPTION,Skippable Dialogs,Diálogos Puláveis,Diálogos Omitibles,Não gosto de ler
CRT_OPTION,CRT Filter,Filtro CRT,Filtro CRT,TV de Tubo
LIGHT_VALUE,Light,Leve,Tenue,Levin
STRONG_VALUE,Strong,Forte,Fuerte,Brabo
ACHIEV_OPTION,Show Achievements,Mostrar Conquistas,Mostrar Logros,Isso não é RA carai
RESET_ACHIEV,Clear Achievements Progress,Apagar Progresso Conquistas,Borrar Progreso de Logros,Apagar Progresso Conquistas
RESET_ACHIEV_FINISHED,Achivements Progress Cleared.,Progresso Conquistas Apagado.,Progreso de Logros Apagado,Progresso Conquistas Apagado.
,,,,
,,,,
KEYCFG_TITLE,KEY CONFIG,CONFIGURAÇÃO DE BOTÕES,CONFIGURACIÓN DE BOTONES,DEIXA O DASH NO A
ACTION_CTG,Action,Ação,Acción,Ação
KEYBOARD_CTG,Keyboard,Teclado,Teclado,Teclado
JOYPAD_CTG,Joypad,Controle,Joystick,Controle
,,,,
LEFT_ACT,left,esquerda,Izquierda,esquerda
RIGHT_ACT,right,direita,Derecha,direita
UP_ACT,up,cima,Arriba,cima
DOWN_ACT,down,baixo,Abajo,baixo
SHOT_ACT,shot,tiro,Disparo,tiro
SHOT2_ACT,shot2,tiro2,Disparo2,tiro2
JUMP_ACT,jump,pulo,Salto,pulo
DASH_ACT,dash,dash,Dash,dash
PREV_ACT,prev weapon,arma anterior,Arma Anterior,arma anterior
NEXT_ACT,next weapon,proxima arma,Arma Siguiente,proxima arma
PAUSE_ACT,pause menu,pausar,Pausar,pausar
CONFIRM_ACT,menu confirm,confirmar,Confirmar,confirmar
,,,,
ARMORABILITY_ACT,armor ability,ataque esp.,Giga Attack,ataque esp.
WPNLEFT_ACT,wheel left,roda esq.,Rueda Izq.,roda esq.
WPNRIGHT_ACT,wheel right,roda dir.,Rueda Der.,roda dir.
WPNUP_ACT,wheel up,roda cima,Rueda Arriba,roda cima
WPNDOWN_ACT,wheel down,roda baixo,Rueda Abajo,roda baixo
WPNRESET_ACT,select buster,selec. Buster,Selec. Buster,selec. Buster
TAG_ACT,tag switch,trocar personagem,Cambiar Personaje,trocar personagem
,,,,
,,,,
ARMORSETUP_TITLE,Armor Setup,Armadura,Armadura,Fashion Souls
LOADOUT_DISC,Choose your loadout.,Escolha sua armadura,Elige Tu Armadura,3 por 15
EXIT_BUTTON,Exit,Sair,Salir,Vazar
,,,,
STAGE_DC,Stage,Fase,Nivel,Engenho
BOSS_DC,Boss,Chefe,Jefe,Capitão do Mato
COMPLETION_DC,Completed,Concluído,Completado,Paradas Pegadas
SUNFLOWER_STAGE,Tunnel Base,Base do Túnel,Base do Túnel,Anta Gorda
ANTONION_STAGE,Air Forces,Forças Aéreas,Fuerzas Aéreas,Chorrochó
MANTIS_STAGE,Cyber Field,Campo Cibernético,Campo Cibernético,Santa Rita do Passa Quatro
MANOWAR_STAGE,Radio Tower,Torre de Rádio,Torre de Radio,Marginal do Tietê
PANDA_STAGE,Deep Forest,Floresta Profunda,Bosque Profundo,Paudalho
TRILOBYTE_STAGE,Central Circuit,Circuito Central,Circuito Central,Caucaia
YETI_STAGE,Battleship,Couraçado,Acorazado,Trombudo Central
ROOSTER_STAGE,Lava Factory,Fábrica de Lava,Fábrica de Lava,Favela do Gato Morto
,,,,
JAKOB_STAGE,Air Forces,Forças Aéreas,Forças Aéreas,Morro do Papagaio
GATEWAY_STAGE,Palace Road,Estrada do Palácio,Camino del Palacio,Arroio dos Ratos
SIGMA_STAGE,Crimson Palace,Palácio Carmesim,Palacio Carmesí,Rolândia
,,,,
SUNFLOWER_NAME,Snipe Anteator,Snipe Anteator,Snipe Anteator,Tamanduá Atirador
ANTONION_NAME,Tornado Tonion,Tornado Tonion,Tornado Tonion,Tornado Tonion
MANTIS_NAME,Wind Crowrang,Wind Crowrang,Wind Crowrang,Corvo Ventoso
MANOWAR_NAME,Splash Warfly,Splash Warfly,Splash Warfly,Mosca Molhada
PANDA_NAME,Vanishing Gungaroo,Vanishing Gungaroo,Vanishing Gungaroo,Canguru Sumido
TRILOBYTE_NAME,Ride Boomer,Ride Boomer,Ride Boomer,Ride Boomer
YETI_NAME,Soldier Stonekong,Soldier Stonekong,Soldier Stonekong,Macaco de Pedra
ROOSTER_NAME,Flame Hyenard,Flame Hyenard,Flame Hyenard,Hiena Flamejante
TONION_NAME,Tornado Tonion,Tornado Tonion,Tornado Tonion,Pião de Tornado
GUNGAROO_NAME,Vanishing Gungaroo,Vanishing Gungaroo,Vanishing Gungaroo,Canguru Sumido
WARFLY_NAME,Splash Warfly,Splash Warfly,Splash Warfly,Mosca Molhada
HYENARD_NAME,Flame Hyenard,Flame Hyenard,Flame Hyenard,Hiena Flamejante
BOARSKI_NAME,Ride Boomer,Ride Boomer,Ride Boomer,Ride Boomer
ANTEATOR_NAME,Snipe Anteator,Snipe Anteator,Snipe Anteator,Tamanduá Atirador
CROWRANG_NAME,Wind Crowrang,Wind Crowrang,Wind Crowrang,Corvo Ventoso
STONEKONG_NAME,Soldier Stonekong,Soldier Stonekong,Soldier Stonekong,Macaco de Pedra
RED_NAME,Red,Red,Red,Red
TONION_STAGE,Radio Tower,Torre de Rádio,Torre de Radio,Torre de Rádio
GUNGAROO_STAGE,Tunnel Base,Base do Túnel,Base del Túnel,Base do Túnel
WARFLY_STAGE,Battleship,Couraçado,Acorazado,Couraçado
HYENARD_STAGE,Lava Factory,Fábrica de Lava,Fábrica de Lava,Fábrica de Lava
BOARSKI_STAGE,Central Circuit,Circuito Central,Circuito Central,Circuito Central
ANTEATOR_STAGE,Cyber Field,Campo Cibernético,Campo Cibernético,Campo Cibernético
CROWRANG_STAGE,Air Forces,Forças Aéreas,Fuerzas Aéreas,Forças Aéreas
STONEKONG_STAGE,Deep Forest,Floresta Profunda,Bosque Profundo,Floresta Profunda
TONION_WEAPON,Volt Tornado,Volt Tornado,Volt Tornado,Volt Tornado
GUNGAROO_WEAPON,Explosion,Explosion,Explosion,Explosion
WARFLY_WEAPON,Splash Laser,Splash Laser,Splash Laser,Splash Laser
HYENARD_WEAPON,Circle Blaze,Circle Blaze,Circle Blaze,Circle Blaze
BOARSKI_WEAPON,Moving Wheel,Moving Wheel,Moving Wheel,Moving Wheel
ANTEATOR_WEAPON,Sniper Missile,Sniper Missile,Sniper Missile,Sniper Missile
CROWRANG_WEAPON,Wind Cutter,Wind Cutter,Wind Cutter,Wind Cutter
STONEKONG_WEAPON,Gaea Shield,Gaea Shield,Gaea Shield,Gaea Shield
TONION_WPNMENU,V. Tornado,V. Tornado,V. Tornado,V. Tornado
GUNGAROO_WPNMENU,Explsion,Explsion,Explsion,Explsion
WARFLY_WPNMENU,S. Laser,S. Laser,S. Laser,S. Laser
HYENARD_WPNMENU,C. Blaze,C. Blaze,C. Blaze,C. Blaze
BOARSKI_WPNMENU,M. Wheel,M. Wheel,M. Wheel,M. Wheel
ANTEATOR_WPNMENU,S. Missile,S. Missile,S. Missile,S. Missile
CROWRANG_WPNMENU,W. Cutter,W. Cutter,W. Cutter,W. Cutter
STONEKONG_WPNMENU,G. Shield,G. Shield,G. Shield,G. Shield
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
HERMESHEAD_NAME,Head Parts H,Head Parts H,Parte de Cabeza H,Par de Chifres H
HERMESHEAD_DISC,Charges faster.,Carregamento de tiro mais rápido.,Carga más rápido.,Carregamento de tiro mais rápido.
HERMESBODY_NAME,Body Parts H,Body Parts H,Parte de Cuerpo H,Petcholas H
HERMESBODY_DISC,Buster hits heal damage taken.,Acertar Buster cura dano tomado.,Los golpes del Buster curan el daño recibido.,Acertar Buster cura dano tomado.
HERMESARMS_NAME,Buster Parts H,Buster Parts H,Partes de Buster H,Berro H
HERMESARMS_DISC,Weapon shots consume no ammo.,Tiros de Arma não gastam munição.,Los disparos del Arma no consumen munición.,Tiros de Arma não gastam munição.
HERMESLEGS_NAME,Foot Parts H,Foot Parts H,Parte de Botas H,Saltos H
HERMESLEGS_DISC,Ground dash is immune to damage,Dash no chão é imune a dano.,Dash por el suelo es inmune al daño.,Dash no chão é imune a dano.
,,,,
DEFAULTHEAD_NAME,Default Head,Capacete Padrão,Casco Estandar,Chifres Padrão
DEFAULTHEAD_DISC,Default part.,Parte padrão.,Parte Estandar,Parte padrão.
DEFAULTBODY_NAME,Defaul Body,Peitoral Padrão,Peto Estandar,Petcholas Padrão
DEFAULTBODY_DISC,Default part.,Parte padrão.,Parte Estandar,Parte padrão.
DEFAULTARMS_NAME,Default Buster,Canhão Padrão,Buster Estandar,Berro Padrão
DEFAULTARMS_DISC,Default part.,Parte padrão.,Parte Estandar,Parte padrão.
DEFAULTLEGS_NAME,Default Foot,Botas Padrão,Botas Estandar,Saltos Padrão
DEFAULTLEGS_DISC,Default part. Can air dash.,Parte padrão. Dash aéreo.,Parte Estandar. Dash Aéreo,Parte padrão. Dash aéreo.
,,,,
ICARUSHEAD_NAME,Head Parts I,,Parte de Cabeza I,Par de Chifres I
ICARUSHEAD_DISC,Creates damaging area during jump,Pulo causa dano em inimigos.,Crea un área dañina durante el salto.,Pulo causa dano em inimigos.
ICARUSARMS_NAME,Buster Parts I,,Partes de Buster I,Berro I
ICARUSARMS_DISC,Charged shots consume no ammo.,Carregados não gastam munição.,Doble salto y Dash aéreo.,Carregados não gastam munição.
ICARUSLEGS_NAME,Foot Parts I,,Parte de Botas I,Saltos I
ICARUSLEGS_DISC,Can double jump and air dash.,Pulo duplo e Dash aéreo.,Inmune al empujo al recibir daño.,Pulo duplo e Dash aéreo.
ICARUSBODY_NAME,Body Parts I,,Parte de Cuerpo I,Petcholas I
ICARUSBODY_DISC,Immune to knockback.,Não é empurrado ao tomar dano.,Tiros cargados no consumen munición.,Não é empurrado ao tomar dano.
,,,,
HERMESBODY1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
HERMESBODY2,Here... Try Body Parts H.,Aqui está... Este peitoral chama-se Body Parts H.,Toma...  Este peto es la Parte de Cuerpo H.,Pegue na minha parte... Petcholas H.
HERMESBODY3,"With this part equipped, you will be able to heal damage taken by hitting or destroying enemies.",Com esta parte equipada você será capaz de recuperar vida ao acertar um inimigo logo após receber dano.,"Con esta parte equipada, podrás curar el daño recibido golpeando o destruyendo enemigos con tu Buster.",Com esta parte equipada você será capaz de recuperar vida ao acertar um inimigo logo após receber dano.
HERMESBODY4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
,,,,
HERMESARMS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
HERMESARMS2,"Here, try these Buster Parts H.",Teste esse canhão... Buster Parts H.,"Toma, prueba estas Partes de Buster H.",Pegue na minha parte... Berro H.
HERMESARMS3,Equipping this part will grant you a Spread Shot Charge Attack.,Equipar esta parte lhe dará acesso a um poderoso Tiro Carregado que se propaga em três direções.,"Al equipar esta parte, obtendrás un Ataque Cargado de Disparo Amplio.",Equipar esta parte lhe dará acesso a um poderoso Tiro Carregado que se propaga em três direções.
HERMESARMS4,"Your weapons will also not consume energy when fired, except when you perform a Charge Shot.","Além disso, suas Armas não consomem energia quando disparadas, exceto quando você usar um Tiro Carregado.","Tus armas tampoco consumirán energía al disparar, excepto cuando realices un Disparo Cargado.","Além disso, suas Armas não consomem energia quando disparadas, exceto quando você usar um Tiro Carregado."
HERMESARMS5,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
,,,,
HERMESLEGS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
HERMESLEGS2,Try out these Foot Parts H.,Teste essas botas... Foot Parts H.,"Toma, prueba estas Parte de Botas H.",Teste esses Saltos H.
HERMESLEGS3,"It will grant your dash invincibility to enemy attacks, but only while on the ground.",Elas lhe concederão invencibilidade total a ataques inimigos durante o Dash no chão.,"Durante el Dash te dara invencibilidad contra los ataques enemigos, pero solo mientras estés en el suelo.",Elas lhe concederão invencibilidade total a ataques inimigos durante o Dash no chão.
HERMESLEGS4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
,,,,
HERMESHEAD1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
HERMESHEAD2,"This time, I want you to try Head Parts H.","Desta vez, quero que teste este capacete... Head Parts H.","Esta vez, quiero que pruebes la Parte de Cabeza H.",Desta vez fiz algo que dá certin... Par de Chifres H.
HERMESHEAD3,This part will increase your weapons' charge speed when equipped.,Este capacete irá acelerar o tempo de carregamento da sua Buster.,Esta casco aumentará la velocidad de carga de tu Buster cuando esté equipado.,Este capacete irá acelerar o tempo de carregamento da sua Buster.
HERMESHEAD4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
,,,,
ICARUSBODY1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
ICARUSBODY2,"This time, I want you to try out Body Parts I.","Desta vez, quero que teste este peitoral... Body Parts I.","Esta vez, quiero que pruebes las Partes de Cuerpo I.",Acho que você vai ficar lindo vestindo essa Petcholas I.
ICARUSBODY3,"If you equip this, you will take less damage than you normally would, and enemies will not be able to knock you back.",Se você equipar esta parte receberá menos dano do que o normal e inimigos não poderão lhe empurrar.,"Si equipas esto, recibirás menos daño de lo que normalmente harías, y los enemigos no podrán empujarte hacia atrás.",Se você equipar esta parte receberá menos dano do que o normal e inimigos não poderão lhe empurrar.
ICARUSBODY4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
,,,,
ICARUSARMS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
ICARUSARMS2,I have new parts for you... They're Buster Parts I.,Tenho um novo canhão para você... Buster Parts I.,Tengo nuevas partes para ti... Partes de Buster I.,Arranjei esse berro I pra você com um desconto outro dia.
ICARUSARMS3,"Equip this part, and you'll gain the ability to fire a powerful Laser Charge Shot.",Equipando esta parte você ganhará a habilidade de atirar um poderoso Tiro Carregado em forma de laser.,Equipa esta parte y obtendrás la habilidad de disparar un potente Disparo Cargado de Láser.,Equipando esta parte você ganhará a habilidade de atirar um poderoso Tiro Carregado em forma de laser.
ICARUSARMS4,"Also, your weapons' Charge Shot will not consume any energy.","Além disso, seus Tiros Carregados não irão consumir energia.","Además, el Disparo Cargado de tus armas no consumirá energía.","Além disso, seus Tiros Carregados não irão consumir energia."
ICARUSARMS5,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
,,,,
ICARUSLEGS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
ICARUSLEGS2,These new parts... They're Foot Parts I.,"Desta vez, tenho botas para você... Foot Parts I.",Prueba estas nuevas partes... Parte de Botas I.,Estes lindos Saltos I combinam com seus olhos.
ICARUSLEGS3,Equip this part to be able to jump again while in the air and air dash twice.,Elas lhe concederão a habilidade de pular novamente no ar e usar o seu Dash aéreo duas vezes.,Estas partes te daran la habilidad de saltar una vez mas en el aire y podras usar el Dash 2 veces.,Elas lhe concederão a habilidade de pular novamente no ar e usar o seu Dash aéreo duas vezes.
ICARUSLEGS4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
,,,,
ICARUSHEAD1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
ICARUSHEAD2,Here you are... Head Parts I.,Tome este capacete... Head Parts I.,Aqui tienes... Parte de Cabeza I.,Adorne sua cabeça com esse Par de Chifres I.
ICARUSHEAD3,"With this part equipped, you will cause damage to enemies by jumping near them.",Com esta parte equipada você causará dano ao pular próximo de inimigos.,"Con esta parte equipada, causarás daño a los enemigos al saltar cerca de ellos.",Com esta parte equipada você causará dano ao pular próximo de inimigos.
ICARUSHEAD4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
,,,,
VILE1-1,Vile!,Vile!,Vile!,Vile!
VILE1-2,Where have you taken Sigma? Do you plan to hinder the Jakob Project?,Para onde você levou Sigma? Você pretende impedir o Projeto Jakob?,Dónde has llevado a Sigma? ¿Planeas obstruir el Proyecto Jakob?,Para onde você levou Sigma? Você pretende impedir o Projeto Jakob?
VILE1-3,"Reunited after all this time apart, and all you do is bombard me with questions?",Tanto tempo separados e agora que estamos juntos só o que você faz é me encher de perguntas?,"¡Reunidos después de tanto tiempo separados, y todo lo que haces es bombardearme con preguntas!","Marrapaiz, qual é a sua, cabra? Num dá em um oi? Senhora sua mãe num lhe ensinou modos não?"
VILE1-4,Don't worry about our little friend. Sigma is being taken care of. Ha ha ha…,"Não se preocupe, X... Sigma está em boas mãos. Ha ha ha...","No te preocupes por Sigma, X. Está en buenas manos. Ja ja ja...","Sigma tá tranquilo, tá é relaxando lá no Arroio mais Sigma."
VILE1-5,The Orbital Elevator is too important to us to hurt the one who operates it.,O Elevador Orbital é importante demais para machucarmos quem o opera.,El Elevador Orbital es muy importante para nosotros como para hacerle daño a quien lo opera.,Os dois tem bebido demais ultimamente.
VILE1-6,Don't you know what you're doing?,Você não sabe o que está fazendo?,¿No sabes lo que estás haciendo?,Você não sabe o que está fazendo?
VILE1-7,The Jakob Project is an important joint venture between humans and reploids!,O Projeto Jakob é uma importante colaboração entre humanos e Reploids!,¡El Proyecto Jakob es un importante proyecto entre Humanos y Reploides!,O Projeto Jakob é uma importante colaboração entre humanos e Reploids!
VILE1-8,"Chill out, X...","Relaxa, X...","Tranquilizate, X...","Oxe, X... Se aquiete."
VILE1-9,"Let's enjoy this little reunion, OK?","Vamos curtir nosso momento juntos, OK?","Disfrutemos de nuestra pequeña reunion, OK?",Chegue mais e me dê um abraço!
,,,,
VILE2-1,Vile!,Vile!,Vile!,Vile!
VILE2-2,I'm through chasing you down. Let Sigma go. Now!,Cansei de perseguir você. Liberte Sigma. Agora!,Me cansé de perseguirte. ¡Deja ir a Sigma. Ahora!,Cansei de perseguir você. Liberte Sigma. Agora!
VILE2-3,"Ha ha ha... Sigma? Always the positive thinker, aren't you?","Ha ha ha... Sigma? Sempre pensando positivo, né?","Ja ja ja... ¿Sigma? Siempre el pensador positivo, ¿Verdad?","Marrapaiz, a cada dia que passa cê parece que fica é mais ignorante."
VILE2-4,"Look around you, fool! Your world has already begun to crumble!  Are you so dim as to think you're in a position to make demands?","Olhe a sua volta, idiota! Seu mundo já começou a desmoronar e você ainda pensa que pode fazer exigências?","¡Mira a tu alrededor, idiota! ¡Tu mundo ya ha comenzado a desmoronarse! ¿Eres tan tonto como para pensar que estás en posición de hacer demandas?",Parece que é abestado.
VILE2-5,The world as you know it? Mavericks? Kiss it all goodbye!,O mundo que você conhecia? Mavericks? Pode dar adeus a tudo isso!,¿El mundo tal como lo conoces? ¿Mavericks? ¡Dile adiós a todo eso!,"Toda hora fica nessa, parece disco arranhado!"
VILE2-6,"Mayhem, doom and destruction! That's what we were built for!","Caos, ruína e desespero! Foi para isso que fomos construídos!","¡Caos, destrucción y ruina! ¡Para eso fuimos construidos!","Qué saber? Fiquei puto, vou lhe dar é uma coça agora pra você aprender a ser gente!"
,,,,
ANTONION1,Tornado Tonion... You used to be an incredible scientist. What happened?,Tornado Tonion... Você costumava ser um incrível cientista. O que aconteceu?,Tornado Tonion... Solías ser un científico increíble. ¿Qué sucedio?,Tornado Tonion...  Você costumava ser um incrível cientista. O que aconteceu?
ANTONION2,Incredible scientist? Who are you to say such things?,Incrível cientista? Quem é você pra dizer isso?,¿Científico increíble ? ¿Quién eres tú para decir tales cosas?,"Senhor, eu não sei se percebeu mais não sou um cientista."
ANTONION3,I don't pursue my research just to earn praise from the likes of you.,Eu não realizo minha pesquisa para ganhar elogios de gente como você.,No realizo mi investigación solo para ganar elogios de alguien como tú.,Eu sou uma porra de uma formiga e tou perdido nessa fase há mais de 2 anos.
ANTONION4,Did he... Did Sigma make you go Maverick?,Será que... Sigma te transformou em um Maverick?,¿Acaso el... Sigma te hizo volverte Maverick?,Será que... Sigma te transformou em um Maverick?
ANTONION5,"Maverick? Once again, you attach labels to me. What arrogance!",Maverick? Mais uma vez você tenta me rotular. Quanta arrogância!,"¿Maverick? Una vez más, intentas catalogarme. ¡Qué arrogancia!","Mas que caralhos, cê não tá me escutando não?"
ANTONION6,"At any rate, if you choose to stand in my way, I'll destroy you!","De qualquer forma, se você escolher se por no meu caminho eu irei lhe destruir!","De cualquier forma, si eliges interponerte en mi camino, ¡Te destruiré!","Eu só quero saber onde é a saída homem, como você sequer veio parar aqui?"
,,,,
MANOWAR1,Splash Warfly! ,Splash Warfly! ,Splash Warfly!,Mosca Molhada!
MANOWAR2,"Return Abel City's energy supply to normal! If you don't, the city will be destroyed!","Retorne o suprimento de energia de Abel City ao normal! Se não, a cidade será destruida!","¡Devuelve el suministro de energía de Abel City a la normalidad! ¡Si no lo haces, la ciudad será destruida!","Retorne o suprimento de energia de Abel City ao normal! Se não, a cidade será destruida!"
MANOWAR3,... ... ...,... ... ...,... ... ...,... ... ...
MANOWAR4,"...I'm not doing anything wrong... Who are you, anyway?",...Eu não estou fazendo nada de errado... Quem é você?,"...No estoy haciendo nada malo... ¿Quién eres tú, de todos modos?",...Vamos falar de música...  Quem é você?
MANOWAR5,I'm Mega Man X. I'm a Maverick Hunter.,Eu sou Mega Man X. Sou um Caçador de Mavericks.,"Yo soy Mega Man X, un Cazador de Mavericks.",Eu sou Mega Man X. Sou um Caçador de Mavericks.
MANOWAR6,Has Sigma made you go Maverick?,Me responda... Sigma fez você se tornar um Maverick?,¿Sigma te ha convertido en un Maverick?,Me responda... Sigma fez você se tornar um Maverick?
